id,fase,señal_base,variantes,intención,fuente,tipo,peso,url_fuente,fecha_hallazgo,confiabilidad
f1_115,Fase1,se buscan halcones,"necesitamos halcones, buscamos vigilantes, se necesitan ojos",reclutamiento_operativo,Colmex/Infobae,funcional,0.85,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,alta
f1_116,Fase1,se necesitan cocineros,"buscamos cocineros, se buscan químicos",reclutamiento_operativo,Colmex/Infobae,funcional,0.85,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,alta
f1_117,Fase1,pagos semanales y protección a toda costa,"pago semanal con protección, te protegemos y pagamos",incentivo,Colmex,económica,0.8,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,alta
f1_118,Fase1,15 mil pesos a la semana,"15mil semanales, quince mil por semana",incentivo_económico,Milenio/Proceso,económica,0.85,https://www.milenio.com/policia/reclutamiento-de-menores-en-mexico-asi-operan-los-carteles-en-redes,2026-04-25T00:47:39.183492,alta
f1_119,Fase1,20 mil pesos semanales,"20mil semanal, veinte mil a la semana",incentivo_económico,Proceso,económica,0.85,https://www.proceso.com.mx/nacional/2026/4/17/policia-de-jalisco-evita-reclutamiento-de-dos-menores-contactados-por-crimen-organizado-en-tiktok-372393.html,2026-04-25T00:47:39.183492,alta
f1_120,Fase1,18 mil pesos quincenales más comida y hospedaje,18mil quincenal con hospedaje,incentivo_económico,Infobae,económica,0.85,https://www.infobae.com/mexico/2024/02/04/las-ofertas-laborales-del-narco-asi-es-como-el-crimen-organizado-recluta-a-jovenes-en-redes/,2026-04-25T00:47:39.183492,alta
f1_121,Fase1,de 4 a 12 mil pesos semanales,4mil a 12mil semanal,incentivo_económico,Proceso,económica,0.8,https://www.proceso.com.mx/nacional/2025/3/24/teuchitlan-asi-operaba-el-lastra-para-reclutar-personas-para-el-cjng-en-el-rancho-izaguirre-347986.html,2026-04-25T00:47:39.183492,alta
f2_091,Fase2,hospedaje pagos y entrenamiento,"incluye hospedaje y entrenamiento, te damos casa",incentivo,Colmex/Infobae,económica,0.75,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,alta
f1_122,Fase1,trabajo de chofer bien pagado,"chofer privado, se busca chofer",oferta_falsa,Milenio/Infobae,económica,0.7,https://www.milenio.com/policia/narcotrafico/narco-redes-crimen-organizado-recluta-jovenes-mexico,2026-04-25T00:47:39.183492,media
f1_123,Fase1,seguridad privada sin experiencia,guardia de seguridad sin exp,oferta_falsa,Proceso/Infobae,económica,0.75,https://www.proceso.com.mx/nacional/2025/3/24/teuchitlan-asi-operaba-el-lastra-para-reclutar-personas-para-el-cjng-en-el-rancho-izaguirre-347986.html,2026-04-25T00:47:39.183492,alta
f1_124,Fase1,apoyo logístico sin documentos,"trabajo sin papeles, no necesitas documentos",oferta_falsa,Infobae,económica,0.7,https://www.infobae.com/mexico/2025/03/01/nuevas-tacticas-del-crimen-organizado-el-reclutamiento-de-menores-a-traves-de-videojuegos-y-redes-sociales-en-mexico/,2026-04-25T00:47:39.183492,media
f1_125,Fase1,trabajo en campo agrícola,"jornalero, trabajo de campo",oferta_falsa,Infobae,económica,0.6,https://www.infobae.com/mexico/2024/02/04/las-ofertas-laborales-del-narco-asi-es-como-el-crimen-organizado-recluta-a-jovenes-en-redes/,2026-04-25T00:47:39.183492,media
f1_126,Fase1,trabajo en call center,"empleo call center, operador telefónico",oferta_falsa,Infobae,económica,0.55,https://www.infobae.com/mexico/2024/02/04/las-ofertas-laborales-del-narco-asi-es-como-el-crimen-organizado-recluta-a-jovenes-en-redes/,2026-04-25T00:47:39.183492,media
f1_127,Fase1,tu currículum está en revisión,"estamos revisando tu perfil, ya vimos tu solicitud",enganche_laboral,Infobae,funcional,0.7,https://www.infobae.com/mexico/2026/04/19/ofertas-de-trabajo-falsas-en-redes-sociales-una-trampa-que-puede-terminar-en-violacion-o-secuestro/,2026-04-25T00:47:39.183492,alta
f1_128,Fase1,altos salarios por tareas simples sin experiencia,"gana mucho sin experiencia, sueldos altos sin estudios",oferta_falsa,Infobae,económica,0.65,https://www.infobae.com/mexico/2026/04/19/ofertas-de-trabajo-falsas-en-redes-sociales-una-trampa-que-puede-terminar-en-violacion-o-secuestro/,2026-04-25T00:47:39.183492,alta
f1_129,Fase1,se solicita personal para despacho jurídico,"empleo en despacho, trabajo en ventas, agencia de edecanes",oferta_falsa,Infobae,económica,0.65,https://www.infobae.com/mexico/2026/04/19/ofertas-de-trabajo-falsas-en-redes-sociales-una-trampa-que-puede-terminar-en-violacion-o-secuestro/,2026-04-25T00:47:39.183492,alta
f1_130,Fase1,trabajo como pintor o albañil,"pintor, albañil, ayudante de obra",oferta_falsa,Infobae,económica,0.6,https://www.infobae.com/mexico/2024/02/04/las-ofertas-laborales-del-narco-asi-es-como-el-crimen-organizado-recluta-a-jovenes-en-redes/,2026-04-25T00:47:39.183492,media
f2_092,Fase2,te regalo skins y loot,"te doy power-ups, te paso consumibles",incentivo_gaming,Infobae,funcional,0.7,https://www.infobae.com/mexico/2025/03/01/nuevas-tacticas-del-crimen-organizado-el-reclutamiento-de-menores-a-traves-de-videojuegos-y-redes-sociales-en-mexico/,2026-04-25T00:47:39.183492,media
f2_093,Fase2,únete a mi equipo de Roblox,"entra al team, únete a mi clan",contacto_gaming,Milenio,funcional,0.65,https://www.milenio.com/policia/roblox-crimen-organizado-recluta-difunde-mensajes-en-videojuego,2026-04-25T00:47:39.183492,alta
f2_094,Fase2,eres muy bueno en el juego te tengo una propuesta,"juegas muy bien, tienes talento",perfilamiento_gaming,Infobae/Segob,funcional,0.7,https://www.infobae.com/mexico/2025/03/01/nuevas-tacticas-del-crimen-organizado-el-reclutamiento-de-menores-a-traves-de-videojuegos-y-redes-sociales-en-mexico/,2026-04-25T00:47:39.183492,media
f2_095,Fase2,te puedo dar dinero real si juegas conmigo,"te pago por jugar, te doy lana real",incentivo_gaming,Segob/Infobae,económica,0.75,https://www.infobae.com/mexico/2025/03/01/nuevas-tacticas-del-crimen-organizado-el-reclutamiento-de-menores-a-traves-de-videojuegos-y-redes-sociales-en-mexico/,2026-04-25T00:47:39.183492,media
f2_096,Fase2,escenarios narco en Roblox,"juegos narco Roblox, partidas conflicto Sinaloa",narcopropaganda_gaming,Milenio,funcional,0.6,https://www.milenio.com/policia/roblox-crimen-organizado-recluta-difunde-mensajes-en-videojuego,2026-04-25T00:47:39.183492,alta
f2_097,Fase2,pásame tu WhatsApp para hablar fuera del juego,"dame tu número, hablamos por WhatsApp",aislamiento_gaming,Segob/Infobae,funcional,0.8,https://www.infobae.com/mexico/2025/03/01/nuevas-tacticas-del-crimen-organizado-el-reclutamiento-de-menores-a-traves-de-videojuegos-y-redes-sociales-en-mexico/,2026-04-25T00:47:39.183492,media
f2_098,Fase2,mándame una foto tuya para saber con quién juego,"foto tuya, cómo eres, mándame selfie",perfilamiento_gaming,Segob/Infobae,funcional,0.75,https://www.infobae.com/mexico/2025/03/01/nuevas-tacticas-del-crimen-organizado-el-reclutamiento-de-menores-a-traves-de-videojuegos-y-redes-sociales-en-mexico/,2026-04-25T00:47:39.183492,media
f2_099,Fase2,te mando diamantes en Free Fire,"te regalo diamantes, te paso gemas, te compro pase",incentivo_gaming,Vanguardia,funcional,0.7,https://vanguardia.com.mx/noticias/mexico/carteles-usan-videojuegos-como-free-fire-para-reclutar-ninos-y-adolescentes-AD13892561,2026-04-25T00:47:39.183492,alta
f2_100,Fase2,gallo y pizza en juegos Roblox,"emojis narco dentro de Roblox, simbolos cartel en juego",narcopropaganda_gaming,Milenio,simbólica,0.65,https://www.milenio.com/policia/roblox-crimen-organizado-recluta-difunde-mensajes-en-videojuego,2026-04-25T00:47:39.183492,alta
f2_101,Fase2,nos gustan las mismas cosas vamos a ser buenos amigos,"tenemos mucho en común, somos iguales",confianza,Derecho de la Red,emocional,0.65,https://derechodelared.com/las-frases-mas-comunes-del-grooming/,2026-04-25T00:47:39.183492,alta
f2_102,Fase2,pareces triste cuéntame qué te pasa,"te noto mal, desahógate conmigo",perfilamiento,Derecho de la Red,emocional,0.7,https://derechodelared.com/las-frases-mas-comunes-del-grooming/,2026-04-25T00:47:39.183492,alta
f2_103,Fase2,si te envío una foto mía me envías una tuya,"intercambiamos fotos, foto por foto",perfilamiento,Derecho de la Red,emocional,0.75,https://derechodelared.com/las-frases-mas-comunes-del-grooming/,2026-04-25T00:47:39.183492,alta
f2_104,Fase2,eres el amor de mi vida,"te amo, sin ti no puedo vivir",manipulación_emocional,Derecho de la Red,emocional,0.65,https://derechodelared.com/las-frases-mas-comunes-del-grooming/,2026-04-25T00:47:39.183492,alta
f2_105,Fase2,nunca te pediré algo que no quieras hacer,"tú decides, yo respeto tus límites",manipulación_emocional,Derecho de la Red,emocional,0.7,https://derechodelared.com/las-frases-mas-comunes-del-grooming/,2026-04-25T00:47:39.183492,alta
f2_106,Fase2,diles a tus papás que vas a hacer un trabajo,"diles que vas con un amigo, inventa algo",aislamiento,Derecho de la Red,emocional,0.8,https://derechodelared.com/las-frases-mas-comunes-del-grooming/,2026-04-25T00:47:39.183492,alta
f3_085,Fase3,si no haces lo que digo colgaré tus fotos en la red,"publico tus fotos, las subo a internet",amenaza_digital,Derecho de la Red,coercion,0.9,https://derechodelared.com/las-frases-mas-comunes-del-grooming/,2026-04-25T00:47:39.183492,alta
f3_086,Fase3,en otros países esto es normal,"todos lo hacen, no tiene nada de malo",normalización,Derecho de la Red,emocional,0.6,https://derechodelared.com/las-frases-mas-comunes-del-grooming/,2026-04-25T00:47:39.183492,alta
f2_107,Fase2,cuál es tu película favorita,"qué música te gusta, cuáles son tus hobbies",perfilamiento,Derecho de la Red,emocional,0.5,https://derechodelared.com/las-frases-mas-comunes-del-grooming/,2026-04-25T00:47:39.183492,alta
f2_108,Fase2,tú pones los límites cuando quieras que paremos dímelo,"tú controlas la situación, tú mandas",manipulación_emocional,Derecho de la Red,emocional,0.7,https://derechodelared.com/las-frases-mas-comunes-del-grooming/,2026-04-25T00:47:39.183492,alta
f4_101,Fase4,necesitamos punteros,"se buscan punteros, vigía armado",reclutamiento_operativo,Infobae,operativo,0.8,https://www.infobae.com/mexico/2025/11/15/desde-el-halcon-hasta-el-patron-asi-funciona-la-estructura-interna-de-los-carteles-mexicanos/,2026-04-25T00:47:39.183492,alta
f4_102,Fase4,necesitamos estacas,"unidad móvil, estaca de sicarios",reclutamiento_operativo,Infobae,operativo,0.85,https://www.infobae.com/mexico/2025/11/15/desde-el-halcon-hasta-el-patron-asi-funciona-la-estructura-interna-de-los-carteles-mexicanos/,2026-04-25T00:47:39.183492,alta
f4_103,Fase4,zancudo,"zancudos, menores sicarios, chamaco armado",reclutamiento_menores,Infobae,operativo,0.85,https://www.infobae.com/mexico/2025/11/15/desde-el-halcon-hasta-el-patron-asi-funciona-la-estructura-interna-de-los-carteles-mexicanos/,2026-04-25T00:47:39.183492,alta
f4_104,Fase4,necesitamos droneros,"operador de drones, piloto de drone",reclutamiento_operativo,Infobae,operativo,0.75,https://www.infobae.com/mexico/2025/11/15/desde-el-halcon-hasta-el-patron-asi-funciona-la-estructura-interna-de-los-carteles-mexicanos/,2026-04-25T00:47:39.183492,alta
f1_131,Fase1,pollitos de colores,"pollito, pollitos, niños halcones",reclutamiento_menores,Excélsior,sociocultural,0.7,https://www.excelsior.com.mx/nacional/narco-recluta-a-ninos-y-los-suma-a-pollitos-de-colores-como-halcones/1718351,2026-04-25T00:47:39.183492,alta
f4_105,Fase4,necesitamos troqueros,"troquero, cargador, jalador",reclutamiento_operativo,Infobae,operativo,0.7,https://www.infobae.com/mexico/2025/11/15/desde-el-halcon-hasta-el-patron-asi-funciona-la-estructura-interna-de-los-carteles-mexicanos/,2026-04-25T00:47:39.183492,alta
f4_106,Fase4,gente del cerro,"gente de la sierra, sicarios rurales",reclutamiento_operativo,Infobae,operativo,0.7,https://www.infobae.com/mexico/2025/11/15/desde-el-halcon-hasta-el-patron-asi-funciona-la-estructura-interna-de-los-carteles-mexicanos/,2026-04-25T00:47:39.183492,alta
f4_107,Fase4,se buscan escoltas,"escolta personal, guardaespaldas",reclutamiento_operativo,Infobae,operativo,0.75,https://www.infobae.com/mexico/2025/11/15/desde-el-halcon-hasta-el-patron-asi-funciona-la-estructura-interna-de-los-carteles-mexicanos/,2026-04-25T00:47:39.183492,alta
f4_108,Fase4,jefe de plaza,"comandante de plaza, encargado de zona",jerarquía,Infobae,operativo,0.7,https://www.infobae.com/mexico/2025/11/15/desde-el-halcon-hasta-el-patron-asi-funciona-la-estructura-interna-de-los-carteles-mexicanos/,2026-04-25T00:47:39.183492,alta
f3_087,Fase3,tengo tus fotos íntimas y las voy a publicar,"publico tus nudes, mando tus fotos a todos",amenaza_sextorsión,REDIM/Consejo Ciudadano,coercion,0.95,https://www.eluniversal.com.mx/nacion/ninas-ninos-y-adolescentes-principales-victimas-de-sextorsion-en-mexico-incrementa-delito-en-56/,2026-04-25T00:47:39.183492,alta
f3_088,Fase3,mándame más material o le digo a tus papás,"le cuento a tu familia, tus papás van a saber",amenaza_sextorsión,REDIM/Consejo Ciudadano,coercion,0.9,https://www.eluniversal.com.mx/nacion/ninas-ninos-y-adolescentes-principales-victimas-de-sextorsion-en-mexico-incrementa-delito-en-56/,2026-04-25T00:47:39.183492,alta
f3_089,Fase3,mándame dinero o publico todo,"págame o subo tus fotos, deposita o difundo",extorsión_financiera,FinCEN/REDIM,coercion,0.95,https://www.fincen.gov/news/news-releases/fincen-issues-notice-financially-motivated-sextortion,2026-04-25T00:47:39.183492,alta
f2_109,Fase2,soy tu amigo virtual confía en mí,"soy tu amigo en línea, puedes confiar",grooming,Consejo Ciudadano,emocional,0.65,https://www.eluniversal.com.mx/nacion/ninas-ninos-y-adolescentes-principales-victimas-de-sextorsion-en-mexico-incrementa-delito-en-56/,2026-04-25T00:47:39.183492,media
f2_110,Fase2,te citamos en la central de autobuses,"nos vemos en la central, pasa a la terminal",punto_encuentro,Proceso,funcional,0.85,https://www.proceso.com.mx/nacional/2026/4/17/policia-de-jalisco-evita-reclutamiento-de-dos-menores-contactados-por-crimen-organizado-en-tiktok-372393.html,2026-04-25T00:47:39.183492,alta
f2_111,Fase2,te recogemos en un vehículo,"mandamos carro por ti, va una camioneta",punto_encuentro,Proceso,funcional,0.85,https://www.proceso.com.mx/nacional/2026/4/17/policia-de-jalisco-evita-reclutamiento-de-dos-menores-contactados-por-crimen-organizado-en-tiktok-372393.html,2026-04-25T00:47:39.183492,alta
f3_090,Fase3,entrega tus pertenencias,"dame tu celular, deja tus cosas",control,Proceso,coercion,0.9,https://www.proceso.com.mx/nacional/2025/3/24/teuchitlan-asi-operaba-el-lastra-para-reclutar-personas-para-el-cjng-en-el-rancho-izaguirre-347986.html,2026-04-25T00:47:39.183492,alta
f3_091,Fase3,vas a estar incomunicado un mes,"sin teléfono, sin contacto con nadie",aislamiento_forzado,Proceso,coercion,0.9,https://www.proceso.com.mx/nacional/2025/3/24/teuchitlan-asi-operaba-el-lastra-para-reclutar-personas-para-el-cjng-en-el-rancho-izaguirre-347986.html,2026-04-25T00:47:39.183492,alta
f3_092,Fase3,si te quieres ir te va mal,"el que se raja le va peor, no hay salida",amenaza_deserción,Proceso,coercion,0.95,https://www.proceso.com.mx/nacional/2025/3/24/teuchitlan-asi-operaba-el-lastra-para-reclutar-personas-para-el-cjng-en-el-rancho-izaguirre-347986.html,2026-04-25T00:47:39.183492,alta
f4_109,Fase4,la señora lechuga,"señora lechuga, la doña verde (marihuana)",código_droga,Vice/Univision,operativo,0.6,https://www.univision.com/noticias/narcotrafico/el-lenguaje-secreto-que-usan-los-traficantes,2026-04-25T00:47:39.183492,media
f4_110,Fase4,la muchacha,"la morra, la nena (metanfetamina)",código_droga,Vice/Univision,operativo,0.6,https://www.univision.com/noticias/narcotrafico/el-lenguaje-secreto-que-usan-los-traficantes,2026-04-25T00:47:39.183492,media
f4_111,Fase4,la piñata,"la piñata, el pollito (metanfetamina)",código_droga,Vice/Univision,operativo,0.6,https://www.univision.com/noticias/narcotrafico/el-lenguaje-secreto-que-usan-los-traficantes,2026-04-25T00:47:39.183492,media
f4_112,Fase4,el pescado,"queso blanco, los tamales (cocaína)",código_droga,Vice/Univision,operativo,0.6,https://www.univision.com/noticias/narcotrafico/el-lenguaje-secreto-que-usan-los-traficantes,2026-04-25T00:47:39.183492,media
f4_113,Fase4,el aguacate,"el chorizo, manteca (heroína)",código_droga,Vice/Univision,operativo,0.55,https://www.univision.com/noticias/narcotrafico/el-lenguaje-secreto-que-usan-los-traficantes,2026-04-25T00:47:39.183492,media
f4_114,Fase4,azuquítar,"cremita, talco, perico (cocaína)",código_droga,Vice/Univision,operativo,0.6,https://www.univision.com/noticias/narcotrafico/el-lenguaje-secreto-que-usan-los-traficantes,2026-04-25T00:47:39.183492,media
f4_115,Fase4,special k,"especial k, ketamina, keta",código_droga,Univision,operativo,0.55,https://www.univision.com/noticias/narcotrafico/el-lenguaje-secreto-que-usan-los-traficantes,2026-04-25T00:47:39.183492,media
f4_116,Fase4,grapa,"grapa (gramo), puntita (dosis), piquito (mínimo)",código_cantidad,Univision,operativo,0.55,https://www.univision.com/noticias/narcotrafico/el-lenguaje-secreto-que-usan-los-traficantes,2026-04-25T00:47:39.183492,media
f4_117,Fase4,tachas,"tachas, chochos, pastillas (éxtasis)",código_droga,Univision,operativo,0.6,https://www.univision.com/noticias/narcotrafico/el-lenguaje-secreto-que-usan-los-traficantes,2026-04-25T00:47:39.183492,media
f4_118,Fase4,chemo,"chemo, cemento, mona",código_droga,Univision,operativo,0.5,https://www.univision.com/noticias/narcotrafico/el-lenguaje-secreto-que-usan-los-traficantes,2026-04-25T00:47:39.183492,media
f3_093,Fase3,for tutoring (memo engañosa),"gift, for school (memo falso en pago)",evasión_detección,FinCEN,financiero,0.7,https://www.fincen.gov/news/news-releases/fincen-issues-notice-financially-motivated-sextortion,2026-04-25T00:47:39.183492,alta
f3_094,Fase3,pagos rápidos P2P a desconocidos,transferencias P2P repetidas a extraños,red_flag_financiero,FinCEN,financiero,0.7,https://www.fincen.gov/news/news-releases/fincen-issues-notice-financially-motivated-sextortion,2026-04-25T00:47:39.183492,alta
f3_095,Fase3,deepfake amenaza con IA,"hicimos un video tuyo, foto deepfake, IA generó tu imagen",amenaza_IA,FinCEN,coercion,0.85,https://www.fincen.gov/news/news-releases/fincen-issues-notice-financially-motivated-sextortion,2026-04-25T00:47:39.183492,alta
f2_112,Fase2,hablamos por Telegram que es más seguro,"vamos a Telegram, mejor por app cifrada",migración_plataforma,Derivado,funcional,0.7,,2026-04-25T00:47:39.183492,baja
f2_113,Fase2,te envío mi perfil de Discord,"agrégame al Discord, entra a mi servidor",contacto_gaming,Segob,funcional,0.65,https://www.infobae.com/mexico/2025/03/01/nuevas-tacticas-del-crimen-organizado-el-reclutamiento-de-menores-a-traves-de-videojuegos-y-redes-sociales-en-mexico/,2026-04-25T00:47:39.183492,media
f2_114,Fase2,sígueme en TikTok te mando DM,"dame follow, te contacto por DM",contacto_digital,Colmex,funcional,0.65,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,media
f1_132,Fase1,apoyo para madres solteras,"ayuda para mamás, programa para madres solteras",incentivo_mujeres,Colmex/N+,económica,0.7,https://www.nmas.com.mx/nacional/seguridad/emojis-hashtags-y-canciones-las-estrategias-del-narco-para-reclutar-en-tiktok/,2026-04-25T00:47:39.183492,alta
f1_133,Fase1,beca o apoyo para estudiantes,"beca para jóvenes, pagamos tus estudios",incentivo_estudiantes,Colmex/N+,económica,0.65,https://www.nmas.com.mx/nacional/seguridad/emojis-hashtags-y-canciones-las-estrategias-del-narco-para-reclutar-en-tiktok/,2026-04-25T00:47:39.183492,alta
f1_134,Fase1,tr4b4jo,"tr4bajo, trab4jo (leet)",evasión_filtro,Derivado,funcional,0.5,,2026-04-25T00:47:39.183492,baja
f1_135,Fase1,d1ner0,"din3ro, diner0 (leet)",evasión_filtro,Derivado,funcional,0.5,,2026-04-25T00:47:39.183492,baja
f1_136,Fase1,j4le,"jal3, j4l3 (leet)",evasión_filtro,Derivado,funcional,0.5,,2026-04-25T00:47:39.183492,baja
f1_137,Fase1,r3clut4,"reclut4, r3clut4 (leet)",evasión_filtro,Derivado,funcional,0.5,,2026-04-25T00:47:39.183492,baja
f3_096,Fase3,t3 m4to,"te mat0, t3 mato (leet)",amenaza_evasiva,Derivado,coercion,0.6,,2026-04-25T00:47:39.183492,baja
f1_138,Fase1,s1car1o,"sic4rio, s1cario (leet)",evasión_filtro,Derivado,funcional,0.5,,2026-04-25T00:47:39.183492,baja
f1_139,Fase1,h4lcon,"halc0n, h4lc0n (leet)",evasión_filtro,Derivado,funcional,0.5,,2026-04-25T00:47:39.183492,baja
f1_140,Fase1,escucha este corrido tumbado,"oye este beat, ponle play a este corrido",narcocultura,Colmex,sociocultural,0.5,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,media
f1_141,Fase1,la vida bélica es la buena,"vivir bélico, ser belicón",aspiracional,Colmex,sociocultural,0.55,https://www.infobae.com/mexico/2025/04/18/belicones-y-trabajo-para-la-mana-las-frases-en-tiktok-que-usa-el-narco-para-el-reclutamiento-criminal-de-jovenes/,2026-04-25T00:47:39.183492,media
f1_142,Fase1,yo quiero ser sicario,"quiero ser como ellos, quiero ser del cartel",auto_reclutamiento,Vanguardia,sociocultural,0.7,https://vanguardia.com.mx/noticias/mexico/yo-quiero-ser-sicario-que-es-el-comando-calavera-del-cjng-ligado-a-centros-de-adiestramiento-de-jovenes-HE15447257,2026-04-25T00:47:39.183492,alta
f1_143,Fase1,Comando Calavera,"Comando Calavera CJNG, grupo de adiestramiento",identidad_cartel,Vanguardia,sociocultural,0.75,https://vanguardia.com.mx/noticias/mexico/yo-quiero-ser-sicario-que-es-el-comando-calavera-del-cjng-ligado-a-centros-de-adiestramiento-de-jovenes-HE15447257,2026-04-25T00:47:39.183492,alta
f4_119,Fase4,encobijado,"encobijar, envolver cuerpo, encobijados",violencia,Animal Político,operativo,0.8,https://animalpolitico.com/2017/09/tacha-buchon-encobijado-mundo-los-narcos-se-ha-infiltrado-espanol-mexico,2026-04-25T00:47:39.183492,alta
f4_120,Fase4,narcomanta,"colgar manta, narcomensaje, mensaje narco",comunicación_criminal,Animal Político,operativo,0.7,https://animalpolitico.com/2017/09/tacha-buchon-encobijado-mundo-los-narcos-se-ha-infiltrado-espanol-mexico,2026-04-25T00:47:39.183492,alta
