"Timestamp","¿Usas alguna de estas plataformas?","¿Con qué frecuencia hablas con personas que no conoces en la vida real?","¿Alguna vez alguien desconocido por estos medios te ha ofrecido dinero, trabajo, regalos u “oportunidades”?","¿Has recibido mensajes como “no le digas a nadie”, “gana dinero fácil”, “solo entre nosotros” o persuasiones por el estilo?","Al tener contacto con un tercero desconocido, ¿te han ofrecido cambiar de plataforma para comunicarse (ej. WhatsApp o Telegram)?","De la misma forma, al contactar con un desconocido, ¿Te han presionado para responder rápido o tomar decisiones?","¿Sabrías identificar si alguien intenta manipularte en línea?","¿Te sentirías cómodo pidiendo ayuda si en una interacción con un desconocido algo malo ocurre?","Si existiera una herramienta que detectara mensajes peligrosos o codificados en línea y te avisara… ¿la utilizarías?","Según la pregunta anterior, ¿qué preferirías?","Sobre esta misma herramienta y evaluando tu bienestar ante una situación de riesgo, ¿qué te daría más confianza?"
"2026/04/24 8:20:10 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","No estoy seguro","Si","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:20:21 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","Si","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Precisión en el resultado"
"2026/04/24 8:20:23 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Facebook;Chats en línea (videojuegos).","Rara vez","No","Si","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:20:27 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","Si","Si","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:20:29 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:20:31 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Chats en línea (videojuegos).","Nunca","No","No","No","No","Si","Depende","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:20:35 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Rara vez","Si","Si","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:20:41 AM CST","WhatsApp;Instagram;Discord;Chats en línea (videojuegos).","Rara vez","No","No","No","No","Si","Depende","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:20:47 AM CST","WhatsApp;Instagram;Τik Tok;Discord","Rara vez","Si","No","No","No","Si","No","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:20:51 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Rapidez en responder"
"2026/04/24 8:21:04 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Chats en línea (videojuegos).","A veces","No","No","No","No","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:21:19 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","Si","No","No","No","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:21:22 AM CST","WhatsApp;Instagram;Discord;Chats en línea (videojuegos).","Frecuentemente","No","No","No","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:21:26 AM CST","Τik Tok","Rara vez","No","No","No","No","Si","No","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:21:39 AM CST","WhatsApp;Instagram;Τik Tok;Facebook;Chats en línea (videojuegos).","Rara vez","Si","Si","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:21:39 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Rara vez","No","No","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:21:49 AM CST","WhatsApp;Instagram;Τik Tok","A veces","No","No","No","No","Si","Si","Si","Ambas opciones","Precisión en el resultado"
"2026/04/24 8:21:54 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Facebook;Chats en línea (videojuegos).","A veces","Si","No","No","No","Si","Depende","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:22:01 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:22:03 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","Si","Si","Ambas opciones","Rapidez en responder"
"2026/04/24 8:22:10 AM CST","WhatsApp;Instagram;Discord;Chats en línea (videojuegos).","A veces","No","No","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:22:12 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","Nunca","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:22:16 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","Si","No","Si","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:22:17 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","Si","Si","No","No","Si","Si","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:22:21 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:22:23 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:22:25 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Rara vez","No","No","No","No","Si","Si","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:22:32 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Rara vez","No","No","No","No","Si","No","No","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:22:39 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Frecuentemente","Si","No","Si","Si","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:22:45 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","Si","Si","No","No","Si","Si","Si","También se notifique a un adulto","Privacidad sobre tus datos"
"2026/04/24 8:22:47 AM CST","WhatsApp;Instagram;Τik Tok;Discord","Rara vez","No","No","Si","No","Si","Depende","No","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:22:51 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Rara vez","No","No","No","No","No estoy seguro","Depende","Si","Ambas opciones","Precisión en el resultado"
"2026/04/24 8:22:51 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:22:56 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","Si","Si","Si","No","Si","Depende","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:22:57 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Precisión en el resultado"
"2026/04/24 8:23:03 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","Si","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:23:08 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","No","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:23:09 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","Si","No","No","No","Si","Depende","No","También se notifique a un adulto","Rapidez en responder"
"2026/04/24 8:23:12 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Rara vez","Si","No","No","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:23:13 AM CST","WhatsApp;Instagram;Τik Tok","Frecuentemente","Si","No","No","No","Si","Si","Si","Ambas opciones","Precisión en el resultado"
"2026/04/24 8:23:22 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Nunca","Si","Si","No","No","No estoy seguro","No","No","También se notifique a un adulto","Privacidad sobre tus datos"
"2026/04/24 8:23:24 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","Rara vez","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:23:25 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Facebook;Chats en línea (videojuegos).","A veces","No","No","No","No","Si","No","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:23:31 AM CST","WhatsApp;Instagram","Nunca","Si","No","Si","No","No estoy seguro","Si","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:23:41 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","Si","Si","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:23:56 AM CST","WhatsApp;Instagram;Τik Tok;Discord","Rara vez","Si","No","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:23:59 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:24:01 AM CST","WhatsApp;Instagram;Discord;Chats en línea (videojuegos).","A veces","No","No","Si","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:24:02 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","Si","Si","Si","No","Si","No","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:24:05 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:24:23 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","A veces","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Anonimato del resultado"
"2026/04/24 8:24:28 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Rara vez","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Precisión en el resultado"
"2026/04/24 8:24:29 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","Si","No","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Anonimato del resultado"
"2026/04/24 8:24:31 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","Si","No","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:24:31 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","Si","Si","Ambas opciones","Precisión en el resultado"
"2026/04/24 8:24:39 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","Si","No","Si","Depende","Tal vez","Ambas opciones","Anonimato del resultado"
"2026/04/24 8:24:40 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Chats en línea (videojuegos).","Nunca","No","No","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:24:42 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Precisión en el resultado"
"2026/04/24 8:24:48 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","Rara vez","Si","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:24:51 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Facebook","Rara vez","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:24:53 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Chats en línea (videojuegos).","Frecuentemente","Si","Si","No","No","Si","Si","Si","Ambas opciones","Precisión en el resultado"
"2026/04/24 8:24:55 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","A veces","No","No","Si","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:24:59 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Facebook;Chats en línea (videojuegos).","Rara vez","Si","Si","No","Si","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Rapidez en responder"
"2026/04/24 8:24:59 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Rara vez","Si","No","Si","No","Si","No","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:25:03 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","No","Tal vez","Solo yo vea el resultado de la herramienta","Precisión en el resultado"
"2026/04/24 8:25:03 AM CST","WhatsApp;Instagram;Τik Tok;Facebook;Chats en línea (videojuegos).","Frecuentemente","No","No","No","No","Si","No","Tal vez","Ambas opciones","Precisión en el resultado"
"2026/04/24 8:25:07 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Nunca","No","Si","No","No","Si","No","Si","Solo yo vea el resultado de la herramienta","Precisión en el resultado"
"2026/04/24 8:25:09 AM CST","WhatsApp;Instagram","Nunca","No","No","No","No","Si","Si","Si","También se notifique a un adulto","Privacidad sobre tus datos"
"2026/04/24 8:25:09 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Facebook;Chats en línea (videojuegos).","Rara vez","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:25:10 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Si","También se notifique a un adulto","Privacidad sobre tus datos"
"2026/04/24 8:25:10 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:25:11 AM CST","WhatsApp;Instagram","A veces","No","Si","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:25:19 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Nunca","No","No","No","No","Si","Depende","Tal vez","Solo yo vea el resultado de la herramienta","Rapidez en responder"
"2026/04/24 8:25:23 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Rara vez","Si","No","No","No","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:25:25 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","Si","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:25:27 AM CST","Chats en línea (videojuegos).","Nunca","No","No","No","No","No","Depende","Tal vez","Ambas opciones","Precisión en el resultado"
"2026/04/24 8:25:34 AM CST","WhatsApp;Instagram;Τik Tok;Discord","Nunca","No","Si","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Anonimato del resultado"
"2026/04/24 8:25:34 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","Si","No","No","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:25:49 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Facebook;Chats en línea (videojuegos).","Rara vez","Si","Si","No","Si","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Rapidez en responder"
"2026/04/24 8:25:54 AM CST","WhatsApp;Instagram;Τik Tok","A veces","No","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:26:01 AM CST","WhatsApp;Instagram","Rara vez","No","No","Si","No","Si","Depende","No","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:26:07 AM CST","WhatsApp;Instagram;Τik Tok","Frecuentemente","No","No","No","No","No","No","No","También se notifique a un adulto","Anonimato del resultado"
"2026/04/24 8:26:08 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","Si","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:26:09 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Rara vez","No","No","No","No","Si","Depende","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:26:10 AM CST","WhatsApp;Instagram;Τik Tok","A veces","No","No","No","No","Si","Si","Si","También se notifique a un adulto","Privacidad sobre tus datos"
"2026/04/24 8:26:29 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","Nunca","Si","No","No","No","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Precisión en el resultado"
"2026/04/24 8:26:30 AM CST","Τik Tok","A veces","No","Si","No","Si","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:26:33 AM CST","WhatsApp;Instagram;Τik Tok;Discord","Rara vez","No","No","No","No","Si","Si","Si","Ambas opciones","Precisión en el resultado"
"2026/04/24 8:26:36 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","No estoy seguro","No","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:26:55 AM CST","WhatsApp;Instagram;Τik Tok;Discord","A veces","No","Si","Si","Si","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Precisión en el resultado"
"2026/04/24 8:27:15 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","Rara vez","No","No","No","Si","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:28:42 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","A veces","Si","Si","No","Si","No estoy seguro","Depende","Si","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:30:13 AM CST","WhatsApp;Instagram","Nunca","No","No","No","No","Si","Depende","No","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:35:51 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","Rara vez","Si","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:37:14 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","Frecuentemente","Si","No","Si","Si","Si","No","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:37:28 AM CST","WhatsApp;Instagram;Τik Tok","Frecuentemente","Si","No","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:37:30 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:37:59 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","Si","No","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:38:29 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","No estoy seguro","Si","Si","También se notifique a un adulto","Privacidad sobre tus datos"
"2026/04/24 8:39:08 AM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","No","No","Si","Si","Si","También se notifique a un adulto","Privacidad sobre tus datos"
"2026/04/24 8:39:13 AM CST","WhatsApp;Instagram;Τik Tok;Chats en línea (videojuegos).","Nunca","Si","No","No","No","Si","Si","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:39:31 AM CST","WhatsApp;Instagram;Τik Tok;Discord","Rara vez","No","Si","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:40:24 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","Si","No","No","No","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:40:29 AM CST","WhatsApp;Τik Tok","Nunca","No","No","No","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 8:40:33 AM CST","Discord","Frecuentemente","No","No","No","No","Si","Depende","No","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:40:35 AM CST","WhatsApp;Instagram;Τik Tok;Discord","Rara vez","Si","Si","No","No","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:41:07 AM CST","WhatsApp;Instagram;Τik Tok","Frecuentemente","Si","No","No","No","Si","Si","Tal vez","También se notifique a un adulto","Privacidad sobre tus datos"
"2026/04/24 8:41:54 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","Si","Tal vez","También se notifique a un adulto","Rapidez en responder"
"2026/04/24 8:41:56 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","No estoy seguro","Depende","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:42:02 AM CST","WhatsApp;Instagram;Τik Tok","Nunca","No","No","No","No","Si","Depende","Si","Solo yo vea el resultado de la herramienta","Rapidez en responder"
"2026/04/24 8:43:28 AM CST","WhatsApp;Instagram;Τik Tok;Discord;Chats en línea (videojuegos).","A veces","Si","Si","Si","Si","Si","Si","Tal vez","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 8:45:50 AM CST","WhatsApp;Instagram;Chats en línea (videojuegos).","Rara vez","No","No","No","No","No estoy seguro","Depende","No","Solo yo vea el resultado de la herramienta","Privacidad sobre tus datos"
"2026/04/24 9:25:05 AM CST","WhatsApp;Instagram;Τik Tok;Facebook","Rara vez","No","No","No","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 11:53:37 AM CST","WhatsApp;Instagram;Τik Tok;Facebook;Chats en línea (videojuegos).","Rara vez","No","No","No","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 2:36:27 PM CST","WhatsApp;Instagram;Τik Tok;Discord;Chats en línea (videojuegos).","A veces","No","No","Si","No","Si","Si","Tal vez","Ambas opciones","Privacidad sobre tus datos"
"2026/04/24 10:05:52 PM CST","WhatsApp;Instagram;Τik Tok","Rara vez","No","No","Si","No","Si","Si","Tal vez","Ambas opciones","Rapidez en responder"
